day month year Tmin Tmax pr eto
10 1 2014 -4.054602050781227 5.208551025390648 0.0 1.37
11 1 2014 -2.2139038085937273 11.918756103515648 0.0 2.21
12 1 2014 -4.234350585937477 11.547784423828148 0.0 2.53
13 1 2014 -5.344946289062477 12.338922119140648 0.0 2.97
14 1 2014 -5.134222412109352 4.989007568359398 0.0 1.86
15 1 2014 -4.514471435546852 14.897851562500023 0.0 3.04
16 1 2014 -8.754888916015602 8.188897705078148 0.0 2.23
17 1 2014 -8.024816894531227 10.368005371093716 0.0 2.61
18 1 2014 -5.494940185546852 10.578729248046898 0.0 2.71
19 1 2014 -3.4447692871093523 19.898309326171898 0.0 3.84
20 1 2014 -13.743994140624977 11.417810058593716 0.0 2.62
21 1 2014 -13.294042968749977 12.688439941406273 0.0 2.48
22 1 2014 -15.144659423828102 5.208551025390648 0.0 1.31
23 1 2014 -15.993719482421852 -6.461737060546852 0.0 0.76
24 1 2014 -8.224371337890602 13.728173828125023 0.0 3.4
25 1 2014 -0.7339233398437273 15.018975830078148 0.0 2.77
26 1 2014 -12.114019775390602 15.418969726562523 0.0 2.44
27 1 2014 -15.334295654296852 -6.561437988281227 0.0 0.77
28 1 2014 -15.144659423828102 -2.6612304687499773 0.0 0.97
29 1 2014 -11.014532470703102 10.808374023437523 0.0 2.44
30 1 2014 -9.114355468749977 7.547906494140648 2.86 1.7
31 1 2014 -13.481207275390602 -5.641577148437477 0.0 0.21
1 2 2014 -19.211538696289068 -6.521063232421852 0.0 0.25
2 2 2014 -19.020651245117165 -0.31052246093747726 0.0 0.71
3 2 2014 -10.750524902343727 -1.6013244628906023 0.91 0.93
4 2 2014 -21.341040039062477 -6.311590576171852 3.39 0.19
5 2 2014 -22.37108459472654 -14.741613769531227 0.0 0.12
6 2 2014 -18.30048217773438 -12.181433105468727 0.0 0.5
7 2 2014 -14.280706787109352 -7.960760498046852 0.0 0.68
8 2 2014 -12.050787353515602 1.0295043945312727 0.0 0.87
9 2 2014 -14.371191406249977 -8.531072998046852 1.01 0.22
10 2 2014 -13.540686035156284 -7.440893554687477 0.0 0.47
11 2 2014 -8.131414794921852 2.2584777832031477 0.0 1.33
12 2 2014 -2.6105712890624773 3.5985046386718977 0.0 1.38
13 2 2014 0.008569335937522737 12.578668212890648 0.0 2.52
14 2 2014 -0.7909301757812273 10.458856201171898 0.0 2.61
15 2 2014 -2.7010559082031023 13.199487304687523 0.0 2.84
16 2 2014 -2.2610229492187273 15.179223632812523 0.0 3.07
17 2 2014 -1.7912353515624773 17.118585205078148 0.0 4.0
18 2 2014 -2.6105712890624773 17.938745117187523 0.0 4.71
19 2 2014 -2.4704956054687273 14.448632812500023 4.94 3.59
20 2 2014 -5.250738525390602 6.408502197265648 0.0 2.01
21 2 2014 -5.051184082031227 10.838647460937523 0.0 3.38
22 2 2014 -5.840765380859352 9.309381103515648 0.0 2.24
23 2 2014 -7.040624999999977 -3.1205200195312273 0.0 0.7
24 2 2014 -13.220892333984352 8.258294677734398 0.0 2.15
25 2 2014 -20.65062561035154 -7.641516113281227 1.26 0.22
26 2 2014 -19.511495971679665 6.118310546875023 0.0 1.61
27 2 2014 -9.870458984374977 10.389459228515648 0.0 2.59
28 2 2014 -10.357611083984352 10.643090820312523 0.0 2.15
1 3 2014 -18.237265014648386 -11.036993408203102 0.0 0.2
2 3 2014 -18.57689514160154 -13.877294921874977 0.0 0.45
3 3 2014 -16.847753906249977 2.1625915527343977 0.0 1.65
4 3 2014 -6.077520751953102 18.442224121093716 0.0 3.39
5 3 2014 -3.9975952148437273 6.682336425781273 0.0 1.6
6 3 2014 -3.4472412109374773 21.372094726562523 0.0 4.64
7 3 2014 -4.437628173828102 10.002099609375023 0.0 1.96
8 3 2014 -4.177313232421852 11.162927246093716 0.0 2.61
9 3 2014 1.4526000976562727 24.831933593750023 0.0 5.29
10 3 2014 2.9821716308593977 25.072930908203148 0.0 5.19
11 3 2014 -4.246740722656284 10.042474365234398 0.0 2.46
12 3 2014 -5.787451171874977 12.692224121093716 0.0 3.39
